,Number of Completed Trips,Number of Uncompleted Trips,Number of Completed Orders,Number of Uncompleted Orders,Total Distance Completed Orders (km),Total Distance Uncompleted Orders (km),Total Time Completed Orders (hrs),Total Time Uncompleted Orders (hrs),Average Distance for Successful Orders (km),Average Time for Successful Orders (hrs)
169,5,1,65,15,428.3331729757743,102.2296772363704,14.277772432525811,3.4076559078790134,85.66663459515486,2.855554486505162
170,1,0,16,0,94.23423978528437,0.0,3.141141326176146,0.0,94.23423978528437,3.141141326176146
171,3,0,41,0,294.83788310307557,0.0,9.827929436769185,0.0,98.27929436769186,3.2759764789230617
172,4,0,47,0,328.666207383364,0.0,10.955540246112133,0.0,82.166551845841,2.738885061528033
173,2,0,20,0,183.92879835616912,0.0,6.130959945205638,0.0,91.96439917808456,3.065479972602819
174,3,0,34,0,228.04462328738262,0.0,7.601487442912755,0.0,76.01487442912754,2.533829147637585
175,3,0,42,0,290.741768170037,0.0,9.691392272334568,0.0,96.91392272334566,3.2304640907781894
176,1,0,6,0,63.483450271967534,0.0,2.1161150090655845,0.0,63.483450271967534,2.1161150090655845
177,5,8,61,105,435.21801501429655,726.7459858862301,14.507267167143219,24.22486619620767,87.04360300285931,2.9014534334286437
178,4,0,58,0,356.8104038591898,0.0,11.89368012863966,0.0,89.20260096479745,2.973420032159915
179,4,0,43,0,327.98915948676057,0.0,10.932971982892019,0.0,81.99728987169014,2.7332429957230047
180,4,0,45,0,334.42691470874973,0.0,11.14756382362499,0.0,83.60672867718743,2.7868909559062476
181,4,0,60,0,356.7071346800146,0.0,11.890237822667153,0.0,89.17678367000364,2.9725594556667883
182,4,1,60,14,388.1202698137181,81.22635701292171,12.937342327123938,2.707545233764057,97.03006745342952,3.2343355817809845
183,4,0,47,0,325.89299988382254,0.0,10.863099996127417,0.0,81.47324997095564,2.7157749990318543
184,4,0,49,0,304.3033443149542,0.0,10.143444810498472,0.0,76.07583607873855,2.535861202624618
185,1,0,7,0,51.173645214147584,0.0,1.7057881738049194,0.0,51.173645214147584,1.7057881738049194
186,4,0,53,0,359.55282859977603,0.0,11.985094286659201,0.0,89.88820714994401,2.9962735716648004
187,2,0,21,0,165.07764739824438,0.0,5.502588246608147,0.0,82.53882369912219,2.7512941233040733
188,5,1,59,16,436.2056447442011,112.10729060730073,14.540188158140039,3.7369096869100242,87.24112894884021,2.908037631628008
189,2,0,29,0,216.8398948225074,0.0,7.22799649408358,0.0,108.4199474112537,3.61399824704179
190,5,0,56,0,386.3169683467288,0.0,12.877232278224293,0.0,77.26339366934576,2.5754464556448586
191,4,1,63,5,400.1496285927827,68.78682687072816,13.338320953092758,2.292894229024272,100.03740714819567,3.3345802382731895
192,5,0,61,0,426.84827425046973,0.0,14.228275808348991,0.0,85.36965485009395,2.8456551616697983
193,3,0,41,0,303.91045666007415,0.0,10.130348555335805,0.0,101.30348555335804,3.376782851778602
194,2,0,19,0,149.30728139213767,0.0,4.976909379737922,0.0,74.65364069606883,2.488454689868961
195,2,0,24,0,163.149346864527,0.0,5.4383115621509,0.0,81.5746734322635,2.71915578107545
196,2,0,19,0,145.0068701291665,0.0,4.833562337638883,0.0,72.50343506458324,2.4167811688194414
197,4,1,66,8,357.45854940430536,92.67791623170072,11.915284980143513,3.089263874390024,89.36463735107634,2.978821245035878
198,1,0,6,0,61.35656926638369,0.0,2.0452189755461228,0.0,61.35656926638369,2.0452189755461228
199,2,0,23,0,155.92489932690336,0.0,5.197496644230112,0.0,77.96244966345168,2.598748322115056
200,3,0,42,0,272.2454179600387,0.0,9.074847265334624,0.0,90.74847265334624,3.0249490884448744
201,3,0,40,0,270.92507176351637,0.0,9.030835725450546,0.0,90.30835725450545,3.0102785751501817
202,3,0,27,0,238.05708567970055,0.0,7.935236189323351,0.0,79.35236189323352,2.6450787297744505
203,1,0,10,0,90.30943006672314,0.0,3.010314335557438,0.0,90.30943006672314,3.010314335557438
204,4,2,50,30,369.6419857686119,191.2025687742659,12.321399525620397,6.373418959142196,92.41049644215298,3.080349881405099
205,3,0,28,0,216.14915293780774,0.0,7.204971764593592,0.0,72.04971764593591,2.4016572548645305
206,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
207,2,0,24,0,151.70293600987517,0.0,5.056764533662506,0.0,75.85146800493759,2.528382266831253
208,3,0,39,0,281.2138522997393,0.0,9.373795076657977,0.0,93.73795076657977,3.1245983588859922
209,5,0,62,0,430.03945145793307,0.0,14.334648381931098,0.0,86.00789029158662,2.8669296763862198
210,2,0,19,0,160.41073819088257,0.0,5.347024606362753,0.0,80.20536909544128,2.6735123031813766
211,4,0,46,0,313.6891707632043,0.0,10.45630569210681,0.0,78.42229269080107,2.6140764230267024
212,4,0,60,0,364.1391887067786,0.0,12.137972956892622,0.0,91.03479717669465,3.0344932392231554
213,1,0,6,0,90.40815519368195,0.0,3.013605173122732,0.0,90.40815519368195,3.013605173122732
214,1,0,6,0,65.27950866702986,0.0,2.1759836222343285,0.0,65.27950866702986,2.1759836222343285
215,1,0,19,0,110.63421864451959,0.0,3.687807288150653,0.0,110.63421864451959,3.687807288150653
216,5,1,62,13,417.0239874935712,73.14533224422188,13.900799583119037,2.4381777414740626,83.40479749871425,2.7801599166238073
217,1,0,3,0,50.28401761808965,0.0,1.6761339206029884,0.0,50.28401761808965,1.6761339206029884
218,5,1,70,10,424.7433565167953,88.52147767159744,14.158111883893175,2.950715922386581,84.94867130335906,2.8316223767786353
219,2,0,11,0,112.27795294907393,0.0,3.742598431635798,0.0,56.13897647453697,1.871299215817899
220,4,1,61,4,427.11373248529696,41.3725682447649,14.237124416176565,1.37908560815883,106.77843312132424,3.559281104044141
221,4,0,60,0,393.1823673149219,0.0,13.106078910497398,0.0,98.29559182873048,3.2765197276243496
222,2,0,20,0,173.77564090351274,0.0,5.792521363450424,0.0,86.88782045175637,2.896260681725212
223,4,4,66,46,412.4360458648195,366.48377839446863,13.747868195493984,12.216125946482286,103.10901146620488,3.436967048873496
224,2,0,16,0,120.58741995948239,0.0,4.01958066531608,0.0,60.293709979741195,2.00979033265804
225,4,1,54,7,341.0283278434488,77.02747864137763,11.367610928114956,2.567582621379254,85.2570819608622,2.841902732028739
226,2,0,15,0,131.8091913544828,0.0,4.3936397118160935,0.0,65.9045956772414,2.1968198559080467
227,5,0,67,0,434.5401570107039,0.0,14.484671900356798,0.0,86.90803140214078,2.8969343800713596
228,3,0,36,0,259.3153449802252,0.0,8.643844832674173,0.0,86.43844832674172,2.881281610891391
229,4,1,55,8,372.68061568358013,91.28834636772098,12.42268718945267,3.0429448789240325,93.17015392089503,3.1056717973631676
230,1,0,4,0,43.06126722619044,0.0,1.4353755742063479,0.0,43.06126722619044,1.4353755742063479
231,5,1,76,9,430.85619109008604,65.07696344746563,14.3618730363362,2.169232114915521,86.17123821801721,2.8723746072672403
232,3,0,33,0,257.3201070596035,0.0,8.577336901986783,0.0,85.77336901986784,2.859112300662261
233,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
234,2,0,30,0,185.89123603577286,0.0,6.196374534525763,0.0,92.94561801788643,3.0981872672628814
235,2,0,26,0,166.46217949437806,0.0,5.54873931647927,0.0,83.23108974718903,2.774369658239635
236,2,0,37,0,219.77767115995965,0.0,7.325922371998654,0.0,109.88883557997983,3.662961185999327
237,3,0,36,0,241.0308792783323,0.0,8.034362642611075,0.0,80.34362642611076,2.6781208808703583
238,5,1,61,14,418.59316479623055,104.3387637851333,13.953105493207685,3.4779587928377764,83.71863295924611,2.790621098641537
239,1,0,11,0,91.68148270701609,0.0,3.056049423567203,0.0,91.68148270701609,3.056049423567203
240,3,0,38,0,240.52834919688314,0.0,8.017611639896105,0.0,80.17611639896104,2.6725372132987015
241,4,2,56,30,391.93710801932633,189.4330546530519,13.064570267310877,6.31443515510173,97.98427700483158,3.2661425668277193
242,5,0,57,0,459.3693562348117,0.0,15.312311874493723,0.0,91.87387124696234,3.0624623748987445
243,4,0,56,0,383.70977285694306,0.0,12.790325761898103,0.0,95.92744321423577,3.1975814404745257
244,3,0,36,0,270.0951327116131,0.0,9.003171090387102,0.0,90.03171090387103,3.0010570301290342
245,3,0,43,0,302.59133780105725,0.0,10.086377926701909,0.0,100.86377926701908,3.3621259755673027
246,3,0,35,0,265.44003533918914,0.0,8.848001177972971,0.0,88.48001177972971,2.9493337259909906
247,2,0,22,0,159.48410341406372,0.0,5.31613678046879,0.0,79.74205170703186,2.658068390234395
248,5,2,51,28,398.4064492043125,175.03433625887567,13.280214973477083,5.834477875295855,79.68128984086249,2.6560429946954165
249,4,0,51,0,305.48893826141114,0.0,10.182964608713704,0.0,76.37223456535278,2.545741152178426
250,5,3,76,53,422.5852886393319,349.95388624645113,14.08617628797773,11.665129541548371,84.51705772786639,2.817235257595546
251,1,0,12,0,91.56686656770869,0.0,3.0522288855902895,0.0,91.56686656770869,3.0522288855902895
252,4,2,56,21,359.6620408850157,186.70595966288653,11.988734696167189,6.223531988762884,89.91551022125392,2.997183674041797
253,1,0,13,0,84.13589453764256,0.0,2.8045298179214186,0.0,84.13589453764256,2.8045298179214186
254,2,0,24,0,182.02118554614975,0.0,6.067372851538325,0.0,91.01059277307488,3.0336864257691625
255,1,0,13,0,105.54104816226754,0.0,3.5180349387422516,0.0,105.54104816226754,3.5180349387422516
